id_participant,mnemonic,n,cooler_rate,warmer_rate,heat_sensitivity,archetype
usk22,Carefree,104,0.04793356268991436,0.10127499202833422,0.029985007496251874,Heat-Unbothered
usk23,Conventional,43,0.548519657203742,0.011978660171040694,0.2843137254901961,Normatively Responsive
usk24,Captive,112,0.314641527483345,0.15159754547674006,0.13518821603927988,Often Over-Cooled
usk25,Captive,98,0.3385018391160318,0.18024244382651933,-0.03853046594982079,Often Over-Cooled
usk26,Craver,76,0.9152832736612986,0.01892908330885393,-0.02510822510822508,Constant Cool-Seekers
usk27,Craver,69,0.8652372208451734,0.008085717447101142,-0.12903225806451613,Constant Cool-Seekers
usk28,Conventional,89,0.3825843180007748,0.07646686193915665,0.08840749414519905,Normatively Responsive
usk29,Conventional,156,0.8446090247236083,0.01584932909263421,0.2225691347011597,Normatively Responsive
usk30,Conventional,96,0.5579175573397858,0.02473659540134203,0.19259259259259254,Normatively Responsive
usk31,Carefree,68,0.07230855226574051,0.020845891757843505,0.0,Heat-Unbothered
usk32,Craver,120,0.6198909867330968,0.020204786671501995,-0.33142389525368243,Constant Cool-Seekers
usk33,Carefree,84,0.13962943479454565,0.09101736594393663,0.008333333333333331,Heat-Unbothered
usk34,Conventional,101,0.3961591418159658,0.08613091070182832,0.0855855855855856,Normatively Responsive
usk35,Carefree,109,0.10840477916719489,0.013723694002479638,0.08985200845665961,Heat-Unbothered
usk36,Conventional,85,0.6164304459247106,0.027570923039625772,0.14383561643835618,Normatively Responsive
usk37,Conventional,99,0.44323763518174836,0.014971274152767814,0.11047345767575323,Normatively Responsive
usk38,Conventional,150,0.42618777899875643,0.004017811058051119,0.07800751879699253,Normatively Responsive
usk39,Conventional,102,0.5832290180117079,0.005724454048889206,0.2651785714285714,Normatively Responsive
usk40,Craver,45,0.9231039164348669,0.011550870004808816,-0.06060606060606055,Constant Cool-Seekers
usk41,Conventional,97,0.48218253057152577,0.04302564739554668,0.08823529411764708,Normatively Responsive
usk42,Conventional,82,0.2726486371866069,0.04996508112759855,0.11818181818181817,Normatively Responsive
usk43,Carefree,109,0.19785484583342622,0.013723694002479638,-0.0012406947890818698,Heat-Unbothered
usk44,Carefree,97,0.091378314786753,0.08006182586496087,-0.09379217273954116,Heat-Unbothered
usk45,Craver,92,0.6764023215105249,0.07423972592102152,0.06705118961788037,Constant Cool-Seekers
usk46,Conventional,66,0.6122466417093053,0.04736050734785657,0.11363636363636365,Normatively Responsive
usk47,Craver,82,0.8976912759177175,0.006955486295283848,-0.03819444444444442,Constant Cool-Seekers
usk48,Carefree,90,0.29224911442695434,0.03610680436653153,0.03261675315048185,Heat-Unbothered
usk49,Craver,101,0.6273859010367755,0.023632307791817693,0.07641025641025645,Constant Cool-Seekers
usk50,Craver,85,0.7986747995956681,0.006738133017041936,-0.014411027568922319,Constant Cool-Seekers
usk51,Conventional,40,0.3065607618982684,0.012683252650772896,0.13032581453634084,Normatively Responsive
usk52,Conventional,103,0.5020976536541357,0.014445977824193015,0.07875116495806145,Normatively Responsive
usk53,Conventional,98,0.42779267772890583,0.11602373539171118,0.20348837209302323,Normatively Responsive
usk54,Craver,97,0.7928217790158324,0.005989468926132484,0.047670639219934974,Constant Cool-Seekers
usk55,Carefree,95,0.3182092841917003,0.08157239067456078,0.0302889095992544,Heat-Unbothered
usk56,Craver,98,0.8940892793739146,0.005934520932040105,0.14877226769378915,Constant Cool-Seekers
